,question,answer
2485,i bought some new shoes.,are they comfortable?
2486,are they comfortable?,they're very comfortable.
2487,they're very comfortable.,how much were they?
2488,how much were they?,they were on sale for $80.
2489,they were on sale for $80.,do they help you run faster?
2490,do they help you run faster?,"no, but my feet don't hurt anymore."
2491,"no, but my feet don't hurt anymore.",then they're worth every penny.
2492,then they're worth every penny.,you might want to buy a pair.
2493,you might want to buy a pair.,i'll wait until i wear this pair out.
2494,tiger is the greatest golfer in the world.,you can say that again.
2495,you can say that again.,but i'm worried about tiger.
2496,but i'm worried about tiger.,why is that?
2497,why is that?,because he likes to scuba dive.
2498,because he likes to scuba dive.,what's wrong with that?
2499,what's wrong with that?,it can be dangerous.
2500,it can be dangerous.,you mean he could drown.
2501,you mean he could drown.,he shouldn't scuba dive until he retires.
2502,he shouldn't scuba dive until he retires.,but he dives to relax.
2503,but he dives to relax.,"he might relax, but it makes me nervous."
2504,"he might relax, but it makes me nervous.","if his wife doesn't mind, you shouldn't mind."
2505,did you watch that golf tournament?,the one that tiger won?
2506,the one that tiger won?,how did he do it?
2507,how did he do it?,it was nothing for him.
2508,it was nothing for him.,he sank a 20-foot putt on the last hole to win by one stroke!
2509,he sank a 20-foot putt on the last hole to win by one stroke!,he sank a 25-footer last year at the same tournament to win by one stroke.
2510,he sank a 25-footer last year at the same tournament to win by one stroke.,i think he is from outer space.
2511,i think he is from outer space.,no human could possibly play golf that well.
2512,no human could possibly play golf that well.,"whenever he needs a shot to win a tournament, he makes that shot."
2513,"whenever he needs a shot to win a tournament, he makes that shot.",no human can do that.
2514,no human can do that.,somebody should check his birth record.
2515,somebody should check his birth record.,i bet it says he was born on mars.
2516,who's the greatest baseball player?,there are so many great players.
2517,there are so many great players.,"yes, but who is the greatest?"
2518,"yes, but who is the greatest?",i'd have to say babe ruth.
2519,i'd have to say babe ruth.,most people would say that.
2520,most people would say that.,he changed the game.
2521,he changed the game.,"yes, he made the home run popular."
2522,"yes, he made the home run popular.","everybody loved him, all over the nation."
2523,"everybody loved him, all over the nation.",he helped make the yankees the best team ever.
2524,he helped make the yankees the best team ever.,"and ruth was a good person, too."
2525,"and ruth was a good person, too.",he always visited hospitals to cheer up sick kids.
2526,he always visited hospitals to cheer up sick kids.,there will never be another babe.
2527,did you hear what happened at the baseball game?,"no, please tell me."
2528,"no, please tell me.",someone punched out someone.
2529,someone punched out someone.,that's not nice.
2530,that's not nice.,it's worse than that.
2531,it's worse than that.,how so?
2532,how so?,two guys got into an argument.
2533,two guys got into an argument.,i'll bet they were drinking.
2534,i'll bet they were drinking.,a third guy punched one of the two guys.
2535,a third guy punched one of the two guys.,"i'll bet he was drinking, too."
2536,"i'll bet he was drinking, too.",the victim hit his head on the concrete steps and died.
2537,the victim hit his head on the concrete steps and died.,that's terrible. can't people just have fun at a baseball game?
2538,i want to go to the ball game.,is there a game tonight?
2539,is there a game tonight?,"yes, it starts at 7 p.m."
2540,"yes, it starts at 7 p.m.",can we get tickets?
2541,can we get tickets?,"yes, but only the cheap tickets."
2542,"yes, but only the cheap tickets.",how much are they?
2543,how much are they?,they're only $5 each.
2544,they're only $5 each.,that's a good price.
2545,that's a good price.,"yes, it's cheaper than a hot dog or a beer."
2546,"yes, it's cheaper than a hot dog or a beer.",where are the seats?
2547,where are the seats?,they're behind the outfield.
2548,they're behind the outfield.,maybe we can catch a home run ball.
2549,golf is so hard.,what's so hard about hitting a little white ball?
2550,what's so hard about hitting a little white ball?,it's hard if you want to do it right.
2551,it's hard if you want to do it right.,you mean like tiger?
2552,you mean like tiger?,"no, like a good amateur golfer."
2553,"no, like a good amateur golfer.",what's so hard about golf?
2554,what's so hard about golf?,there are so many things you have to do right.
2555,there are so many things you have to do right.,like what?
2556,like what?,"like keep your left arm straight, keep your head down, and follow through."
2557,"like keep your left arm straight, keep your head down, and follow through.",yikes! who can remember all that?
2558,yikes! who can remember all that?,you need to get a lot of lessons when you're really young.
2559,you need to get a lot of lessons when you're really young.,forget it. golf sounds more like work than fun.
2560,did you hear about the ball player?,the home run hitter on drugs?
2561,the home run hitter on drugs?,he said a doctor helped him with a personal problem.
2562,he said a doctor helped him with a personal problem.,he said he wasn't using drugs.
2563,he said he wasn't using drugs.,he apologized to the fans.
2564,he apologized to the fans.,the league suspended him for 50 games.
2565,the league suspended him for 50 games.,that will cost him some money.
2566,that will cost him some money.,"yes, about $7 million."
2567,"yes, about $7 million.",that will teach him a good lesson.
2568,that will teach him a good lesson.,he probably won't use drugs anymore.
2569,he probably won't use drugs anymore.,but it won't stop other players from using drugs.
2570,but it won't stop other players from using drugs.,no. everyone always figures that they won't get caught.
2571,why is there so much crime?,because parents don't teach their kids right from wrong.
2572,because parents don't teach their kids right from wrong.,is that it?
2573,is that it?,"also, there aren't enough police."
2574,"also, there aren't enough police.",but there are a lot of police.
2575,but there are a lot of police.,there's only one police officer per 100 criminals.
2576,there's only one police officer per 100 criminals.,can't we hire more police?
2577,can't we hire more police?,no. it costs too much money.
2578,no. it costs too much money.,doesn't crime cost more than police?
2579,doesn't crime cost more than police?,"yes, it does."
2580,"yes, it does.",so it would be cheaper to hire more police?
2581,so it would be cheaper to hire more police?,"yes, it would."
2582,this is a great neighborhood.,"yes, it is."
2583,"yes, it is.",people are friendly.
2584,people are friendly.,"yes, they are."
2585,"yes, they are.",the streets and sidewalks are clean.
2586,the streets and sidewalks are clean.,"yes, they are."
2587,"yes, they are.",there's a real nice park nearby.
2588,there's a real nice park nearby.,"yes, there is."
2589,"yes, there is.",i feel safe here.
2590,i feel safe here.,there is no crime here.
2591,there is no crime here.,i wish i could move here.
2592,i wish i could move here.,"maybe you can, if someone moves out."
2593,the house burned down.,what happened?
2594,what happened?,the man fell asleep.
2595,the man fell asleep.,was he smoking?
2596,was he smoking?,"yes, he was smoking a cigarette."
2597,"yes, he was smoking a cigarette.",did he die?
2598,did he die?,"yes, he did. his cat died, too."
2599,"yes, he did. his cat died, too.",that's too bad. what about his smoke alarm?
2600,that's too bad. what about his smoke alarm?,the battery was dead.
2601,the battery was dead.,a good battery would have saved his life.
2602,a good battery would have saved his life.,"he had cigarettes, but no battery."
